Condition,cond,EA_corr,factual_accuracy,maas1,maas2,maas3,maas4,maas5,maas6,maas7,maas8,maas9,maas10,maas11,maas12,maas13,maas14,maas15,gender,age,race,race_other,race_mixed,speaker_know,speaker_similar_exp,maas
1,compassion,0.723104768,NA,5,5,3,1,4,1,4,5,3,4,3,6,1,3,5,2,19,1,,,3,1,3.533333333
2,control,0.800972694,53,5,2,3,5,4,4,5,5,5,4,4,6,4,4,3,2,25,1,,,3,1,4.2
2,control,0.842812476,37,5,4,5,5,4,3,5,5,5,5,5,5,3,5,5,2,21,1,,,3,1,4.6
1,compassion,0.827383532,53,4,5,4,2,3,2,4,4,4,4,4,6,4,3,3,2,20,1,,,3,1,3.733333333
2,control,0.863189892,55,3,5,5,4,6,5,5,6,5,6,3,6,2,5,3,2,19,1,,,3,1,4.6
1,compassion,0.814219899,31,4,6,4,3,6,3,4,4,3,4,4,5,2,3,5,2,20,6,,European-American/Latina,3,2,4
2,control,0.595337953,37,3,2,3,2,4,4,4,5,3,5,3,5,3,3,4,2,21,1,,,3,2,3.533333333
1,compassion,0.763847293,42,4,6,3,3,4,2,4,4,3,3,3,4,2,2,2,2,19,1,,,3,1,3.266666667
2,control,NA,NA,3,2,3,2,3,2,4,3,3,4,4,4,2,3,4,2,20,1,,,NA,NA,3.066666667
1,compassion,0.75865394,43,4,5,3,4,4,5,5,4,4,4,3,4,2,4,3,2,22,1,,,3,1,3.866666667
2,control,0.776445434,42,1,6,3,1,4,1,3,3,2,3,3,6,3,4,3,2,23,1,,,3,1,3.066666667
2,control,0.703241661,33,3,2,3,3,4,2,3,3,3,2,2,3,3,3,3,2,20,1,,,3,2,2.8
1,compassion,0.710215873,33,2,6,4,2,3,3,4,5,4,5,5,6,3,5,5,2,18,1,,,3,2,4.133333333
1,compassion,NA,NA,3,3,3,3,5,2,4,3,4,4,2,2,2,3,3,2,20,6,,White and Hispanic,NA,NA,3.066666667
2,control,0.741734834,49,6,6,6,6,6,6,5,6,5,6,6,6,5,6,6,2,24,1,,,3,2,5.8
2,control,0.758079943,49,5,2,4,4,4,2,5,5,6,3,5,3,3,6,6,2,20,1,,,3,1,4.2
1,compassion,NA,NA,2,2,2,3,3,1,4,4,5,5,3,5,2,4,5,2,23,1,,,NA,NA,3.333333333
2,control,0.837875268,43,4,6,4,3,3,3,2,3,4,3,3,5,3,3,6,2,21,1,,,3,2,3.666666667
2,control,0.805538201,44,1,4,1,2,2,2,3,2,1,1,1,5,1,3,6,2,20,1,,,3,2,2.333333333
1,compassion,0.798666721,45,5,5,5,4,5,2,4,5,5,5,5,5,5,5,2,2,22,1,,,3,2,4.466666667
1,compassion,0.743533844,48,6,6,6,3,5,4,4,3,5,4,3,5,5,4,5,2,20,1,,,3,2,4.533333333
1,compassion,0.749838624,38,5,4,5,3,6,3,5,4,4,4,3,4,3,4,5,2,21,1,,,3,2,4.133333333
1,compassion,0.756131844,47,4,6,5,4,2,4,4,5,5,4,3,6,3,5,5,2,24,1,,,3,2,4.333333333
2,control,0.699005878,43,3,5,3,3,5,4,4,4,2,4,3,5,2,4,5,2,22,1,,,3,1,3.733333333
2,control,0.710839784,47,2,5,5,3,5,1,3,2,1,4,1,4,1,2,1,2,20,1,,,3,1,2.666666667
2,control,0.67543967,46,6,5,4,4,4,5,5,5,5,4,4,5,4,3,3,2,19,1,,,3,2,4.4
2,control,0.672913257,41,5,5,4,3,5,2,4,4,4,4,5,5,2,4,5,2,23,1,,,3,2,4.066666667
1,compassion,0.568229457,40,3,5,4,2,5,4,5,3,5,4,1,6,5,2,5,2,20,1,,,3,1,3.933333333
2,control,0.761464158,45,5,5,4,3,5,4,5,5,6,6,6,5,5,5,6,2,25,1,,,3,1,5
2,control,0.717973232,42,4,4,4,4,4,1,3,3,4,4,2,5,2,4,4,2,22,1,,,2,2,3.466666667
2,control,0.610020823,53,2,5,3,3,5,3,3,3,3,3,3,3,4,3,5,2,21,1,,,3,2,3.4
2,control,0.859204003,48,6,6,5,3,5,1,5,6,6,6,4,3,3,5,6,2,24,1,,,3,1,4.666666667
1,compassion,0.834486657,47,3,5,5,3,4,5,4,5,5,5,3,5,4,5,4,2,21,1,,,3,2,4.333333333
1,compassion,0.800460989,38,6,3,3,4,3,6,3,5,5,3,3,3,1,1,5,2,18,1,,,3,2,3.6
1,compassion,0.660125169,43,2,5,4,3,4,2,4,5,4,5,3,5,3,4,5,2,20,1,,,3,2,3.866666667
2,control,0.714615586,45,3,4,3,1,4,2,2,3,2,3,2,2,3,3,4,2,22,1,,,3,2,2.733333333
1,compassion,0.678019522,53,4,3,3,2,5,3,3,4,5,5,2,2,3,2,5,2,21,1,,,3,1,3.4
2,control,0.758198338,45,3,4,4,3,2,2,2,2,2,2,2,2,2,3,3,2,20,1,,,3,1,2.533333333
2,control,0.862496629,44,5,5,5,3,5,5,5,5,4,4,4,5,3,4,2,2,22,1,,,3,1,4.266666667
1,compassion,0.878143505,53,5,5,4,3,5,3,4,4,4,5,5,6,1,4,6,2,20,1,,,3,1,4.266666667
1,compassion,0.788934158,42,5,5,4,3,2,2,4,4,3,5,5,6,3,4,4,2,19,1,,,3,2,3.933333333
1,compassion,0.881286243,41,5,5,6,3,5,4,4,5,4,6,4,6,3,6,6,2,19,1,,,3,1,4.8
1,compassion,0.860208403,54,3,4,4,4,3,5,4,4,5,4,5,4,3,4,4,2,21,1,,,3,1,4
2,control,0.833690103,37,4,5,5,5,5,2,6,6,6,5,3,6,3,6,6,2,21,1,,,3,1,4.866666667
1,compassion,0.760320011,47,6,5,4,2,5,4,4,5,5,5,5,6,3,5,4,2,22,1,,,3,2,4.533333333
2,control,0.491782696,46,6,2,4,3,4,3,2,3,3,2,2,2,2,1,2,2,19,1,,,3,1,2.733333333
1,compassion,0.750416401,35,3,6,3,2,5,2,3,4,2,2,3,3,3,2,5,2,22,1,,,3,3,3.2
2,control,0.833705655,51,4,2,2,1,4,2,3,3,1,3,1,3,1,2,3,2,21,1,,,3,1,2.333333333
1,compassion,0.720891662,56,4,4,3,2,5,3,3,4,2,4,2,4,1,1,1,2,21,1,,,3,2,2.866666667
2,control,0.688364055,43,5,6,5,4,4,3,4,4,4,4,5,4,3,4,3,2,25,1,,,3,1,4.133333333
2,control,0.864751104,41,4,4,4,3,5,5,6,6,5,5,4,6,4,5,6,2,22,1,,,3,1,4.8
2,control,NA,NA,3,4,5,2,4,3,3,3,3,3,3,2,3,3,5,2,18,1,,,NA,NA,3.266666667
1,compassion,0.801027501,46,5,6,5,6,6,3,3,3,3,4,6,6,2,6,6,2,20,1,,,3,1,4.666666667
1,compassion,0.483830817,51,5,2,4,3,3,4,3,5,4,3,4,6,3,4,5,2,20,4,,,3,1,3.866666667
1,compassion,0.936412039,52,4,5,5,3,3,5,4,4,4,4,3,6,5,4,6,2,24,1,,,3,1,4.333333333
1,compassion,0.835705348,35,4,4,5,4,5,4,6,5,5,4,4,6,4,5,3,2,23,1,,,3,2,4.533333333
1,compassion,0.857214506,47,3,5,4,2,4,5,5,5,5,5,5,5,3,5,5,2,20,1,,,3,1,4.4
2,control,0.69461541,40,3,5,5,3,6,2,5,4,3,5,3,6,3,4,6,2,19,5,European,,3,1,4.2
2,control,0.772558461,57,2,2,3,5,4,3,4,5,5,4,4,4,4,4,5,2,25,1,,,3,2,3.866666667
1,compassion,0.809019182,41,6,1,2,1,3,3,2,3,3,4,2,3,1,3,2,2,19,1,,,3,1,2.6
2,control,0.790440027,53,6,6,6,4,3,3,3,4,4,3,3,6,4,3,4,2,24,1,,,3,1,4.133333333
1,compassion,0.812210731,43,4,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,25,1,,,3,2,2.133333333
2,control,0.834477777,48,5,4,5,4,5,6,5,5,4,4,4,4,5,5,3,2,18,1,,,3,1,4.533333333
1,compassion,0.873658865,41,5,5,3,3,6,2,3,5,3,4,3,6,3,4,6,2,20,1,,,3,1,4.066666667
1,compassion,0.875671411,52,4,4,3,2,4,3,3,4,3,4,3,3,4,3,3,2,22,1,,,3,1,3.333333333
1,compassion,0.804977211,52,4,3,5,2,3,2,4,3,2,3,4,5,4,3,3,2,22,5,Arab-American (white),,3,2,3.333333333
1,compassion,0.80564567,38,2,3,1,2,4,2,2,2,1,2,2,2,1,2,2,2,22,1,,,3,2,2
2,control,0.766830218,36,3,6,3,4,3,3,4,2,3,2,5,6,2,3,4,2,21,1,,,3,1,3.533333333
2,control,0.777927778,42,6,5,3,3,3,2,3,3,2,3,3,3,3,3,3,2,20,1,,,3,1,3.2
2,control,0.654792706,41,3,5,2,2,4,3,3,3,3,3,3,4,2,3,4,2,24,1,,,3,1,3.133333333
2,control,0.674245996,25,2,2,3,1,4,1,2,3,3,2,4,6,3,2,4,2,21,1,,,3,2,2.8
1,compassion,0.788176386,44,4,6,3,4,3,1,4,5,5,5,3,5,2,4,6,2,24,1,,,3,1,4
2,control,0.729180205,34,4,5,6,2,3,2,3,6,5,6,5,6,6,6,6,2,24,1,,,3,2,4.733333333
1,compassion,0.893981821,34,3,6,2,3,5,1,3,3,4,4,3,3,2,3,5,2,20,1,,,3,1,3.333333333
1,compassion,NA,NA,3,4,4,2,3,1,4,4,4,3,4,5,4,4,6,2,19,2,,,NA,NA,3.666666667
2,control,0.674111051,40,4,4,5,3,4,3,4,5,5,5,3,5,4,4,5,2,19,1,,,3,1,4.2
1,compassion,0.73966043,36,4,5,2,3,3,3,5,5,4,5,3,6,4,5,4,2,22,1,,,3,2,4.066666667